title,id,funding_type,program,status,grant_or_tender,topic,deadline_model,opening_date,closing_date
"The role of mainstream media, social media and marketing in fostering healthy and sustainable consumption patterns and how to encourage good practices",HORIZON-CL6-2024-GOVERNANCE-01-3,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Broaden EIP Operational Group outcomes across borders by means of thematic networks to compile and share knowledge ready for practice,HORIZON-CL6-2024-GOVERNANCE-01-8,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Organic farming thematic networks to compile and share knowledge ready for practice,HORIZON-CL6-2024-GOVERNANCE-01-10,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Developing EU advisory networks on forestry,HORIZON-CL6-2024-GOVERNANCE-01-12,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Biodiversity thematic networks to compile and share knowledge ready for practice,HORIZON-CL6-2024-GOVERNANCE-01-11,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Developing EU advisory networks on sustainable livestock systems,HORIZON-CL6-2024-GOVERNANCE-01-13,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
"Stimulating transnational research and development of next generation quantum technologies, including basic theories and components (Cascading grant with FSTP)",HORIZON-CL4-2024-DIGITAL-EMERGING-01-42,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
"Additional activities for the European Partnership for a climate neutral, sustainable and productive Blue Economy ",HORIZON-CL6-2024-GOVERNANCE-01-1,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Programme Cofund Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Open Call for Pilot Proposals,HuMUS,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2021-SOIL-02-06,single-stage,06 November 2023,29 February 2024 17:00:00 Brussels time
Enhanced quantification and understanding of natural and anthropogenic methane emissions and sinks,HORIZON-CL5-2024-D1-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
Improved toolbox for evaluating the climate and environmental impacts of trade policies,HORIZON-CL5-2024-D1-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
Driving Urban Transitions (DUT) Call 2023,DUT,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL5-2021-D2-01-16,multiple cut-off,01 September 2023,30 April 2024 17:00:00 Brussels time
Fundamentals of Software Engineering (RIA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-22,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
SURE5.0 Acceleration Programme 2,SURE 5.0,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2021-RESILIENCE-01-29,multiple cut-off,28 July 2023,28 February 2024 17:00:00 Brussels time
STAGE SUSTAINABILITY TRANSITION PROGRAMME,STAGE,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2021-RESILIENCE-01-29,single-stage,17 July 2023,31 May 2025 17:00:00 Brussels time
The African Union-European Union Innovation Platform,HORIZON-EIE-2024-CONNECT-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,11 January 2024,25 April 2024 17:00:00 Brussels time
User-centric technologies and optimized hospital workflows for a sustainable healthcare workforce,HORIZON-JU-IHI-2024-07-02-singe-stage,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,22 May 2024 17:00:00 Brussels time
OC5 - Data & A.I.,X2.0,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIC-2021-STARTUPEU-01-01,single-stage,05 January 2024,4 March 2024 17:00:00 Brussels time
Quantification of the role of key terrestrial ecosystems in the carbon cycle and related climate effects,HORIZON-CL5-2024-D1-01-07,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
EIT Manufacturing Competition BoostUp! North 2023,EITM BP 2023-2025,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIT-2023-25-KIC-EITMANUFACTURING,single-stage,30 October 2023,2 January 2024 17:00:00 Brussels time
BoostUp! Ukraine 2024,EITM BP 2023-2025,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIT-2023-25-KIC-EITMANUFACTURING,single-stage,04 December 2023,5 February 2024 17:00:00 Brussels time
Pioneering Learning Journey – Master & Doctoral School,EITM BP 2023-2025,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIT-2023-25-KIC-EITMANUFACTURING,single-stage,29 September 2023,30 November 2023 17:00:00 Brussels time
Sailing towards ocean and water literacy with school communities,SHORE,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2022-OCEAN-01-08,single-stage,17 January 2024,20 March 2024 17:00:00 Brussels time
Global cooperation in not-for-profit open access publishing,HORIZON-WIDERA-2024-ERA-01-08,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Strengthening researchers’ skills for better careers – leveraging the European Competence Framework for Researchers,HORIZON-WIDERA-2024-ERA-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Sustainability Lighthouse,HORIZON-JU-SNS-2024-STREAM-B-01-07,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Experimentation and exchange of good practices for value creation,HORIZON-WIDERA-2024-ERA-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Customisation/pre-operationalisation of prototypes end-user services in the area Climate Change Adaptation and Mitigation,HORIZON-CL6-2024-GOVERNANCE-01-5,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Pre-commercial Procurement,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Water4All 2023 Joint Transnational Call “Aquatic Ecosystem Services”,Water4All,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL6-2021-CLIMATE-01-02,multiple cut-off,12 September 2023,29 April 2024 17:00:00 Brussels time
FLUIDOS Open Call on data processing on the Edge,FLUIDOS,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2021-DATA-01-05,single-stage,15 December 2023,29 February 2024 17:00:00 Brussels time
European Partnership on Innovative SMEs/Eurostars: joint transnational call for proposals (CALL 6 of Eurostars-3),InnovativeSMEs,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIE-2021-INNOVSMES-01-01,single-stage,12 January 2024,14 March 2024 17:00:00 Brussels time
EIT Health Flagship Call 2024,HORIZONEIT2022HEALTH,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIT-2023-25-KIC-EITHEALTH,multiple cut-off,15 January 2024,28 February 2024 17:00:00 Brussels time
Smart grid-ready buildings,HORIZON-CL5-2024-D4-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Supporting the EOSC Partnership in further consolidating the coordination and sustainability of the EOSC ecosystem,HORIZON-INFRA-2024-EOSC-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Innovative and customizable services for EOSC Exchange,HORIZON-INFRA-2024-EOSC-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Next generation AI and Human Behaviour: promoting an ethical approach,HORIZON-WIDERA-2024-ERA-01-12,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
"R&D for the next generation of scientific instrumentation, tools, methods, solutions for RI upgrade",HORIZON-INFRA-2024-TECH-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Strengthen the bilateral cooperation on research infrastructures with Africa,HORIZON-INFRA-2024-DEV-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
AI REDGIO 5.0: Open call for innovative experiments,AI REDGIO 5.0,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2022-TWIN-TRANSITION-01-06,single-stage,01 December 2023,1 March 2024 17:00:00 Brussels time
Thematic networks to compile and share knowledge ready for practice,HORIZON-CL6-2024-GOVERNANCE-01-9,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Enhancing working conditions and strengthening the work force through digital and data technologies – the potential of robotics and augmented reality in agriculture,HORIZON-CL6-2024-GOVERNANCE-01-7,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
"Nature-Based Solutions for biodiversity, human well-being and transformative change",Biodiversa-plus,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL6-2021-BIODIV-02-01,multiple cut-off,11 September 2023,9 April 2024 17:00:00 Brussels time
Innovative proton conducting ceramic electrolysis cells and stacks for intermediate temperature hydrogen production,HORIZON-JTI-CLEANH2-2024-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Financial Support under the EIC Booster Grant Scheme,HORIZON-EIC-2024-BOOSTER,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,16 January 2024,17 April 2024 17:00:00 Brussels time
Hydrogen production and integration in energy-intensive or specialty chemical industries in a circular approach to maximise total process efficiency and substance utilisation,HORIZON-JTI-CLEANH2-2024-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Novel large-scale aboveground storage solutions for demand-optimised supply of hydrogen,HORIZON-JTI-CLEANH2-2024-02-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Investigation of microbial interaction for underground hydrogen porous media storage,HORIZON-JTI-CLEANH2-2024-02-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"Clinical validation of biomarkers for diagnosis, monitoring disease progression and treatment response",HORIZON-JU-IHI-2024-07-03-singe-stage,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,22 May 2024 17:00:00 Brussels time
"Improved characterisation, prediction and optimisation of flame stabilisation in high-pressure premixed hydrogen combustion at gas-turbine conditions",HORIZON-JTI-CLEANH2-2024-04-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Policy coordination to support all aspects of inclusive Gender Equality Plans and policies in the ERA,HORIZON-WIDERA-2024-ERA-01-10,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Guidelines for sustainable-by-design systems across the hydrogen value chain,HORIZON-JTI-CLEANH2-2024-05-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Coordination and Support Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Development of non-fluorinated components for fuel cells and electrolysers,HORIZON-JTI-CLEANH2-2024-05-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Small-scale Hydrogen Valley,HORIZON-JTI-CLEANH2-2024-06-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Large-scale Hydrogen Valley,HORIZON-JTI-CLEANH2-2024-06-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
SNS Large Scale Trials and Pilots (LST&Ps) with Verticals,HORIZON-JU-SNS-2024-STREAM-D-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Reliable AI for 6G Communications Systems and Services,HORIZON-JU-SNS-2024-STREAM-B-01-08,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Excellence Hubs,HORIZON-WIDERA-2023-ACCESS-07-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,28 September 2023,7 March 2024 17:00:00 Brussels time
MSCA Staff Exchanges 2023,HORIZON-MSCA-2023-SE-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON TMA MSCA Staff Exchanges,single-stage,05 October 2023,28 February 2024 17:00:00 Brussels time
Quantum Space Gravimetry Phase-B study & Technology Maturation,HORIZON-CL4-2024-SPACE-01-64,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,21 November 2023,21 March 2024 17:00:00 Brussels time
"Furthering the development of a materials acceleration platform for sustainable batteries (combining AI, big data, autonomous synthesis robotics, high throughput testing) (Batt4EU Partnership)",HORIZON-CL5-2024-D2-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"Demonstration of innovative solutions for high-capacity, reliable, flexible, and sustainable hydrogen compression technologies in commercial applications",HORIZON-JTI-CLEANH2-2024-02-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Demonstration of hydrogen purification and separation systems for renewable hydrogen-containing streams in industrial applications,HORIZON-JTI-CLEANH2-2024-02-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Development of innovative technologies for direct seawater electrolysis,HORIZON-JTI-CLEANH2-2024-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Scaling-up Balance of Plant components for efficient high power heavy duty applications,HORIZON-JTI-CLEANH2-2024-03-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"Balance of plant components, architectures and operation strategies for improved PEMFC system efficiency and lifetime",HORIZON-JTI-CLEANH2-2024-03-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"Demonstration and deployment of multi-purpose Hydrogen Refuelling Stations combining road and airport, railway, and/or harbour applications",HORIZON-JTI-CLEANH2-2024-02-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Next generation on-board storage solutions for hydrogen-powered maritime applications,HORIZON-JTI-CLEANH2-2024-03-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Advanced anion exchange membrane electrolysers for low-cost hydrogen production for high power range applications,HORIZON-JTI-CLEANH2-2024-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
EIC Pathfinder Open,HORIZON-EIC-2024-PATHFINDEROPEN-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON EIC Grants,single-stage,03 January 2024,7 March 2024 17:00:00 Brussels time
Support to the development and implementation of policies and practices for reproducibility of scientific results,HORIZON-WIDERA-2024-ERA-01-09,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Research infrastructure concept development,HORIZON-INFRA-2024-DEV-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Demonstration of hydrogen fuel cell-powered inland or short sea shipping,HORIZON-JTI-CLEANH2-2024-03-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"AI-driven data operations and compliance technologies (AI, data and robotics partnership) (IA)",HORIZON-CL4-2024-DATA-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Photonics Innovation Factory for Europe (Photonics Partnership) (IA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-55,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
CETPartnership Joint Call 2023,CETP,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL5-2021-D3-01-04,multiple cut-off,20 September 2023,27 March 2024 17:00:00 Brussels time
